"SUBJ","NUMB","SEC","CRN","TYPE","PART","CH","TITLE","INSTRUCTOR","M","T","W","TH","F","TIME","BLDG","ROOM","AVAIL","ENRL","MAX","WL_Max","WL_Actual","CAMPUS"
PHYS,115,01,37272,LAB,1,1,"Newtonian Mechanics Lab",STAFF," ",T," "," "," ",10:15-12:20pm,AB,2608,16,0,16,0,0,"Main Campus"
PHYS,115,02,37273,LAB,1,1,"Newtonian Mechanics Lab",STAFF," "," "," ",R," ",8:00-10:05am,AB,2608,16,0,16,0,0,"Main Campus"
PHYS,224,01,37316,LEC,1,3,"Electricity & Magnetism",STAFF,M,T," ",R,F,10:15-11:15am,AB,1819,32,0,32,0,0,"Main Campus"
PHYS,224,02,37317,LEC,1,3,"Electricity & Magnetism",STAFF,M,T," ",R,F,3:35-4:35pm,AB,2225,32,0,32,0,0,"Main Campus"
PHYS,225,01,37275,LAB,1,1,"Electricity & Magnetism Lab",STAFF," "," ",W," "," ",8:00-10:05am,AB,2606,16,0,16,0,0,"Main Campus"
PHYS,225,02,37276,LAB,1,1,"Electricity & Magnetism Lab",STAFF," "," ",W," "," ",10:15-12:20pm,AB,2606,16,0,16,0,0,"Main Campus"
PHYS,225,03,37277,LAB,1,1,"Electricity & Magnetism Lab",STAFF," "," ",W," "," ",1:20-3:25pm,AB,2606,16,0,16,0,0,"Main Campus"
PHYS,302,01,37322,LEC,1,4,"Vibration, Sound and Light",STAFF," ",T," "," ",F,10:15-12:20pm,AB,2601,20,0,20,0,0,"Main Campus"
PHYS,412,01,37283,LEC,1,4,"Theoretical Mechanics",STAFF," ",T," "," ",F,3:35-5:40pm,AB,2601,20,0,20,0,0,"Main Campus"
PHYS,462,01,37331,LEC,1,4,"Quantum Mechanics",STAFF,M," "," ",R," ",3:35-5:40pm,AB,2903,20,0,20,0,0,"Main Campus"
PHYS,477,01,37325,LEC,1,4,"Optics Lec and Lab",STAFF,M," "," ",R," ",10:15-12:20pm,AB,2617,16,0,16,0,0,"Main Campus"
PHYS,477,02L,37718,LAB,1,0,"Optics Lab",STAFF," "," ",W," "," ",10:15-12:20pm,AB,2617,16,0,16,0,0,"Main Campus"
SSCI,310,01,37408,LEC,1,4,"The Flint Water Crisis",STAFF," ",T," "," ",F,10:15-12:20pm,AB,4103,25,0,25,5,0,"Main Campus"
SSCI,314,01,37721,LEC,1,4,"Tech & Sustainable Development",STAFF," ",T," "," ",F,10:15-12:20pm,AB,4305,20,0,20,5,0,"Main Campus"
